age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0.13073727,0.25,0.07263432,0.9333333333333333,0.7988368,0.8333333333333333,0.21428571428571427,1.0,1.0,0.0,4.767269e-05,6.879898e-08,0.14995682,0.8780487804878049,0
0.114815235,0.5,0.089610994,0.8,0.68764555,0.5,0.7857142857142857,0.2,1.0,1.0,0.00024635778,7.1907016e-05,0.344084,1.0,0
0.48572135,0.25,0.19875756,0.9333333333333333,0.6669492,0.8333333333333333,0.21428571428571427,0.4,0.75,1.0,0.017010704,0.003951423,0.33815888,0.5853658536585367,0
0.20888263,0.375,0.11547422,0.8666666666666667,0.721985,0.8333333333333333,0.07142857142857142,0.6000000000000001,1.0,0.0,0.00086605735,2.6269245e-06,0.25482377,0.951219512195122,0
0.67163527,0.125,0.12065551,1.0,0.7786503,1.0,0.5714285714285714,0.6000000000000001,0.5,1.0,0.0009216391,2.2257113e-05,0.19296257,0.24390243902439024,0
0.22157888,0.375,0.08017893,0.9333333333333333,0.80964154,0.16666666666666666,0.21428571428571427,1.0,1.0,0.0,8.996062e-05,3.571291e-05,0.24421431,0.975609756097561,0
0.33057243,0.125,0.043200575,0.9333333333333333,0.9182786,0.0,0.3571428571428571,1.0,1.0,0.0,6.0597516e-10,4.2782566e-13,0.1205743,0.951219512195122,0
0.4977545,0.5,0.15993409,0.6,0.63953865,0.16666666666666666,0.5,0.0,1.0,1.0,0.03580608,0.12488928,0.47580546,0.9024390243902439,0
0.3524232,0.5,0.084138684,0.7333333333333333,0.696473,0.3333333333333333,0.7857142857142857,0.0,1.0,1.0,0.006148215,0.010696341,0.4209926,0.975609756097561,0
0.066097476,0.625,0.10682499,0.4666666666666667,0.59044784,0.5,0.6428571428571428,0.2,1.0,1.0,4.7611087e-05,1.580499e-05,0.3571294,1.0,0
0.10340636,0.375,0.05831798,0.7333333333333333,0.82064825,0.8333333333333333,0.6428571428571428,1.0,1.0,0.0,3.606151e-05,2.9527536e-09,0.15214728,0.8048780487804879,0
0.5298249,0.5,0.18858242,0.7333333333333333,0.6324092,0.5,0.5,0.0,1.0,1.0,0.099142164,0.56130767,0.45537853,0.8048780487804879,0
0.11375708,0.625,0.09933116,0.26666666666666666,0.6791531,0.5,1.0,0.0,1.0,1.0,1.5834303e-05,3.0036537e-05,0.36189348,1.0,0
0.03093614,0.25,0.03286393,0.13333333333333333,0.7336099,1.0,0.2857142857142857,1.0,0.5,0.0,4.7537824e-08,1.0971922e-15,0.07185418,0.17073170731707318,0
0.1389365,0.25,0.062197104,1.0,0.8850461,0.0,0.7142857142857142,1.0,1.0,0.0,1.4861159e-07,7.7523443e-10,0.14769046,0.951219512195122,0
0.50439084,0.5,0.15142205,0.5333333333333333,0.6161361,0.3333333333333333,0.6428571428571428,0.0,1.0,1.0,0.033029735,0.033885527,0.43403634,0.9024390243902439,1
0.5727704,0.0,0.033680048,1.0,0.95718944,0.8333333333333333,0.07142857142857142,1.0,1.0,0.0,3.418895e-10,1.946699e-09,0.057131033,1.0,0
