age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0.12902956,1.0,0.11259988,0.8,0.4640686,0.3333333333333333,0.14285714285714285,0.0,0.5,1.0,0.0038723052,0.0029740285,0.15215622,0.7317073170731707,1
0.70882684,1.0,0.21802533,0.9333333333333333,0.67799705,0.5,0.3571428571428571,0.0,0.75,1.0,0.082822315,0.087190405,0.21763882,0.8292682926829269,1
0.13176838,1.0,0.093971945,0.8666666666666667,0.47477862,0.5,0.14285714285714285,0.0,0.75,1.0,0.0048062475,0.003441255,0.1699427,0.8048780487804879,0
0.54075545,1.0,0.15049483,0.9333333333333333,0.65846485,0.5,0.21428571428571427,0.0,0.75,1.0,0.034969267,0.033054385,0.1769276,0.8536585365853658,0
0.053237457,1.0,0.07051056,0.8,0.38364646,0.3333333333333333,0.07142857142857142,0.0,0.5,0.0,0.0007484376,0.0004035106,0.08640943,0.6829268292682927,0
0.54677314,1.0,0.13918117,0.9333333333333333,0.65969026,0.5,0.21428571428571427,0.0,0.75,1.0,0.027599497,0.027649943,0.17021511,0.8780487804878049,1
0.00050667697,1.0,0.0035709385,0.5333333333333333,0.25826347,0.0,0.0,0.0,0.25,0.0,3.9386794e-08,5.2780678e-09,0.0015771375,0.3902439024390244,0
0.0008156652,1.0,0.004932616,0.26666666666666666,0.2897489,0.0,0.0,0.4,0.0,0.0,3.15698e-08,3.941022e-09,0.0008474321,0.1951219512195122,0
0.7168186,1.0,0.08374474,1.0,0.7599365,0.5,0.14285714285714285,0.0,0.75,1.0,0.012608554,0.012776462,0.09410359,0.951219512195122,0
0.017862301,1.0,0.04029795,0.4666666666666667,0.36327177,0.16666666666666666,0.0,0.2,0.25,0.0,1.5156239e-05,5.1454776e-06,0.010855855,0.34146341463414637,0
0.07450888,0.875,0.12228959,0.4,0.39997086,0.3333333333333333,0.07142857142857142,0.4,0.25,0.0,0.0006665387,0.00035426425,0.050141875,0.34146341463414637,0
0.042036552,1.0,0.04606068,0.8666666666666667,0.40194684,0.3333333333333333,0.07142857142857142,0.0,0.75,1.0,0.00025180806,0.00012645987,0.0629008,0.7804878048780488,0
0.42551622,1.0,0.08066388,1.0,0.65963346,0.5,0.14285714285714285,0.0,0.75,1.0,0.0075940588,0.0068052686,0.11653403,0.9024390243902439,0
0.0031404677,1.0,0.008555446,0.8666666666666667,0.2955409,0.16666666666666666,0.0,0.0,0.5,0.0,1.4883032e-06,3.7982892e-07,0.009031445,0.7317073170731707,0
0.22539605,1.0,0.02522482,1.0,0.6496211,0.5,0.07142857142857142,0.0,0.75,1.0,0.0003927209,0.00028884513,0.0493787,0.951219512195122,0
0.7922026,1.0,0.032960724,1.0,0.84537697,0.5,0.07142857142857142,0.0,1.0,1.0,0.0033435295,0.0030032108,0.03856651,0.975609756097561,0
0.2556528,1.0,0.12624519,0.8666666666666667,0.5391687,0.5,0.14285714285714285,0.0,0.75,1.0,0.008242375,0.006997812,0.17046092,0.7804878048780488,1
0.7195149,1.0,0.13384771,1.0,0.7265409,0.5,0.21428571428571427,0.0,0.75,1.0,0.03698591,0.03724395,0.14723551,0.9024390243902439,1
0.0016797867,1.0,0.008710861,0.4666666666666667,0.29775602,0.16666666666666666,0.0,0.2,0.25,0.0,3.9493207e-07,6.9783844e-08,0.0032434082,0.36585365853658536,0
0.30054033,1.0,0.14679676,0.9333333333333333,0.561456,0.5,0.21428571428571427,0.0,0.75,1.0,0.019514678,0.015964618,0.21111815,0.8048780487804879,0
0.68176633,0.875,0.27587548,0.8666666666666667,0.6381555,0.5,0.3571428571428571,0.0,0.75,1.0,0.1469191,0.15107763,0.27146706,0.7560975609756098,0
0.6823159,1.0,0.07294087,1.0,0.7589037,0.5,0.14285714285714285,0.0,0.75,1.0,0.009008339,0.009155998,0.08887048,0.951219512195122,0
0.15788002,1.0,0.05873393,0.9333333333333333,0.55969185,0.5,0.07142857142857142,0.0,0.75,1.0,0.0017719268,0.0014533665,0.10743471,0.8780487804878049,1
0.2652837,0.875,0.28642148,0.6666666666666666,0.46145168,0.5,0.2857142857142857,0.2,0.5,0.0,0.04412063,0.035592955,0.26633424,0.5609756097560976,0
0.83670175,1.0,0.013848754,1.0,0.89635706,0.6666666666666666,0.07142857142857142,0.0,1.0,1.0,0.000839956,0.00073377916,0.018359233,1.0,0
0.16387305,1.0,0.16425951,0.8,0.43616268,0.3333333333333333,0.14285714285714285,0.0,0.5,1.0,0.011495186,0.008207849,0.20387511,0.6829268292682927,0
0.44618517,0.875,0.3513966,0.6666666666666666,0.5305834,0.5,0.3571428571428571,0.2,0.5,1.0,0.1200861,0.119412586,0.3353762,0.5853658536585367,1
0.04324848,1.0,0.08513631,0.4666666666666667,0.39166862,0.16666666666666666,0.07142857142857142,0.2,0.25,0.0,0.00030175748,0.00013986834,0.040559668,0.41463414634146345,0
0.98171026,1.0,0.0048008636,1.0,0.96659863,0.6666666666666666,0.07142857142857142,0.0,1.0,1.0,0.00025327972,0.00025886632,0.0044234362,1.0,1
0.4799474,1.0,0.0022039446,1.0,0.88654184,0.6666666666666666,0.0,0.0,1.0,1.0,1.4268811e-05,9.191095e-06,0.0053666085,1.0,0
0.32334712,0.875,0.30750966,0.6,0.4774284,0.5,0.2857142857142857,0.2,0.5,0.0,0.044967927,0.03945016,0.24353291,0.5365853658536586,0
0.23198533,1.0,0.11644505,0.9333333333333333,0.5321126,0.5,0.14285714285714285,0.0,0.75,1.0,0.0096659195,0.007450583,0.17358752,0.8292682926829269,0
